aeb_id,district_id,district,neighborhood,population
1,1,Ciutat Vella,el Raval,2427.0
2,1,Ciutat Vella,el Raval,6257.0
3,1,Ciutat Vella,el Raval,5736.0
4,1,Ciutat Vella,el Raval,7491.0
5,1,Ciutat Vella,el Raval,6341.0
6,1,Ciutat Vella,el Raval,8623.0
7,1,Ciutat Vella,el Raval,6403.0
8,1,Ciutat Vella,el Raval,2018.0
9,1,Ciutat Vella,el Barri Gòtic,3651.0
10,1,Ciutat Vella,el Barri Gòtic,13397.0
11,1,Ciutat Vella,el Barri Gòtic,3203.0
12,1,Ciutat Vella,el Barri Gòtic,3954.0
13,1,Ciutat Vella,la Barceloneta,3637.0
14,1,Ciutat Vella,la Barceloneta,2222.0
15,1,Ciutat Vella,la Barceloneta,8227.0
16,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",6744.0
17,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5225.0
18,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",5575.0
19,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",4350.0
20,2,Eixample,el Fort Pienc,17243.0
21,2,Eixample,el Fort Pienc,5030.0
22,2,Eixample,el Fort Pienc,12060.0
23,2,Eixample,la Sagrada Família,4985.0
24,2,Eixample,la Sagrada Família,12087.0
25,2,Eixample,la Sagrada Família,10995.0
26,2,Eixample,la Sagrada Família,12447.0
27,2,Eixample,la Sagrada Família,11109.0
28,2,Eixample,la Dreta de l'Eixample,9348.0
29,2,Eixample,la Dreta de l'Eixample,7179.0
30,2,Eixample,la Dreta de l'Eixample,6383.0
31,2,Eixample,la Dreta de l'Eixample,4089.0
32,2,Eixample,la Dreta de l'Eixample,5779.0
33,2,Eixample,la Dreta de l'Eixample,1640.0
34,2,Eixample,la Dreta de l'Eixample,2796.0
35,2,Eixample,la Dreta de l'Eixample,3693.0
36,2,Eixample,la Dreta de l'Eixample,2791.0
37,2,Eixample,l'Antiga Esquerra de l'Eixample,6267.0
38,2,Eixample,l'Antiga Esquerra de l'Eixample,5173.0
39,2,Eixample,l'Antiga Esquerra de l'Eixample,4290.0
40,2,Eixample,l'Antiga Esquerra de l'Eixample,7266.0
41,2,Eixample,l'Antiga Esquerra de l'Eixample,6530.0
42,2,Eixample,l'Antiga Esquerra de l'Eixample,6266.0
43,2,Eixample,l'Antiga Esquerra de l'Eixample,6762.0
44,2,Eixample,la Nova Esquerra de l'Eixample,8928.0
45,2,Eixample,la Nova Esquerra de l'Eixample,10813.0
46,2,Eixample,la Nova Esquerra de l'Eixample,8232.0
47,2,Eixample,la Nova Esquerra de l'Eixample,8499.0
48,2,Eixample,la Nova Esquerra de l'Eixample,8144.0
49,2,Eixample,la Nova Esquerra de l'Eixample,6161.0
50,2,Eixample,la Nova Esquerra de l'Eixample,6684.0
51,2,Eixample,Sant Antoni,11060.0
52,2,Eixample,Sant Antoni,8091.0
53,2,Eixample,Sant Antoni,4932.0
54,2,Eixample,Sant Antoni,6461.0
55,2,Eixample,Sant Antoni,7628.0
56,3,Sants-Montjuïc,el Poble-sec,13310.0
57,3,Sants-Montjuïc,el Poble-sec,14858.0
58,3,Sants-Montjuïc,el Poble-sec,6765.0
59,3,Sants-Montjuïc,el Poble-sec,3743.0
60,3,Sants-Montjuïc,la Marina del Prat Vermell,1576.0
61,3,Sants-Montjuïc,la Marina de Port,8141.0
62,3,Sants-Montjuïc,la Marina de Port,8483.0
63,3,Sants-Montjuïc,la Marina de Port,10349.0
64,3,Sants-Montjuïc,la Marina de Port,3386.0
65,3,Sants-Montjuïc,la Font de la Guatlla,10488.0
66,3,Sants-Montjuïc,Hostafrancs,6385.0
67,3,Sants-Montjuïc,Hostafrancs,9543.0
68,3,Sants-Montjuïc,la Bordeta,6882.0
69,3,Sants-Montjuïc,la Bordeta,12803.0
70,3,Sants-Montjuïc,Sants - Badal,16539.0
71,3,Sants-Montjuïc,Sants - Badal,7792.0
72,3,Sants-Montjuïc,Sants,11613.0
73,3,Sants-Montjuïc,Sants,8363.0
74,3,Sants-Montjuïc,Sants,9541.0
75,3,Sants-Montjuïc,Sants,2404.0
76,3,Sants-Montjuïc,Sants,12413.0
77,4,Les Corts,les Corts,11018.0
78,4,Les Corts,les Corts,8837.0
79,4,Les Corts,les Corts,6832.0
80,4,Les Corts,les Corts,1554.0
81,4,Les Corts,les Corts,2096.0
82,4,Les Corts,les Corts,3657.0
83,4,Les Corts,les Corts,4137.0
84,4,Les Corts,les Corts,7597.0
85,4,Les Corts,la Maternitat i Sant Ramon,11066.0
86,4,Les Corts,la Maternitat i Sant Ramon,8893.0
87,4,Les Corts,la Maternitat i Sant Ramon,4033.0
88,4,Les Corts,Pedralbes,5887.0
89,4,Les Corts,Pedralbes,2737.0
90,4,Les Corts,Pedralbes,3403.0
91,5,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1741.0
92,5,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",2945.0
93,5,Sarrià-Sant Gervasi,Sarrià,2302.0
94,5,Sarrià-Sant Gervasi,Sarrià,1690.0
95,5,Sarrià-Sant Gervasi,Sarrià,11244.0
96,5,Sarrià-Sant Gervasi,Sarrià,9421.0
97,5,Sarrià-Sant Gervasi,les Tres Torres,2325.0
98,5,Sarrià-Sant Gervasi,les Tres Torres,5098.0
99,5,Sarrià-Sant Gervasi,les Tres Torres,8785.0
100,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,3370.0
101,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,2582.0
102,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,10831.0
103,5,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,9257.0
104,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,6395.0
105,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,3903.0
106,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,7093.0
107,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,7963.0
108,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,5958.0
109,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,8120.0
