Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2021,1,Ciutat Vella,1,el Raval,1,34839
2021,1,Ciutat Vella,1,el Raval,2,27777
2021,1,Ciutat Vella,1,el Raval,3,31082
2021,1,Ciutat Vella,1,el Raval,4,34635
2021,1,Ciutat Vella,1,el Raval,5,27950
2021,1,Ciutat Vella,1,el Raval,6,33086
2021,1,Ciutat Vella,1,el Raval,7,32945
2021,1,Ciutat Vella,1,el Raval,8,26200
2021,1,Ciutat Vella,1,el Raval,9,30306
2021,1,Ciutat Vella,1,el Raval,10,29564
2021,1,Ciutat Vella,1,el Raval,11,25847
2021,1,Ciutat Vella,1,el Raval,12,32333
2021,1,Ciutat Vella,1,el Raval,13,35620
2021,1,Ciutat Vella,1,el Raval,14,32581
2021,1,Ciutat Vella,1,el Raval,15,32788
2021,1,Ciutat Vella,1,el Raval,16,31528
2021,1,Ciutat Vella,1,el Raval,17,30793
2021,1,Ciutat Vella,1,el Raval,18,32144
2021,1,Ciutat Vella,1,el Raval,19,29442
2021,1,Ciutat Vella,1,el Raval,20,43793
2021,1,Ciutat Vella,1,el Raval,21,38735
2021,1,Ciutat Vella,2,el Barri Gòtic,22,48524
2021,1,Ciutat Vella,2,el Barri Gòtic,23,42736
2021,1,Ciutat Vella,2,el Barri Gòtic,25,40158
2021,1,Ciutat Vella,2,el Barri Gòtic,26,43877
2021,1,Ciutat Vella,2,el Barri Gòtic,27,37411
2021,1,Ciutat Vella,2,el Barri Gòtic,28,35314
2021,1,Ciutat Vella,2,el Barri Gòtic,29,33059
2021,1,Ciutat Vella,2,el Barri Gòtic,30,34156
2021,1,Ciutat Vella,2,el Barri Gòtic,31,36436
2021,1,Ciutat Vella,3,la Barceloneta,32,36450
2021,1,Ciutat Vella,3,la Barceloneta,33,32069
2021,1,Ciutat Vella,3,la Barceloneta,34,29493
2021,1,Ciutat Vella,3,la Barceloneta,35,31223
2021,1,Ciutat Vella,3,la Barceloneta,36,37327
2021,1,Ciutat Vella,3,la Barceloneta,37,35710
2021,1,Ciutat Vella,3,la Barceloneta,38,29136
2021,1,Ciutat Vella,3,la Barceloneta,39,35351
2021,1,Ciutat Vella,3,la Barceloneta,40,33103
2021,1,Ciutat Vella,3,la Barceloneta,41,27603
2021,1,Ciutat Vella,3,la Barceloneta,42,37060
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,50779
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,43386
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,36059
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,38023
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,34119
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,29388
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,41930
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,39006
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,33341
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,55287
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,30561
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,32470
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,49147
2021,2,L'Eixample,5,el Fort Pienc,1,52218
2021,2,L'Eixample,5,el Fort Pienc,2,52068
2021,2,L'Eixample,5,el Fort Pienc,3,61739
2021,2,L'Eixample,5,el Fort Pienc,4,48683
2021,2,L'Eixample,5,el Fort Pienc,5,59426
2021,2,L'Eixample,5,el Fort Pienc,6,62355
2021,2,L'Eixample,5,el Fort Pienc,7,61952
2021,2,L'Eixample,5,el Fort Pienc,8,63309
2021,2,L'Eixample,5,el Fort Pienc,9,60284
2021,2,L'Eixample,5,el Fort Pienc,10,56722
2021,2,L'Eixample,5,el Fort Pienc,11,54511
2021,2,L'Eixample,5,el Fort Pienc,12,48428
2021,2,L'Eixample,5,el Fort Pienc,13,43163
2021,2,L'Eixample,5,el Fort Pienc,14,43422
2021,2,L'Eixample,5,el Fort Pienc,15,45815
2021,2,L'Eixample,5,el Fort Pienc,16,59112
2021,2,L'Eixample,5,el Fort Pienc,17,61920
2021,2,L'Eixample,5,el Fort Pienc,18,60119
2021,2,L'Eixample,5,el Fort Pienc,19,53937
2021,2,L'Eixample,5,el Fort Pienc,20,46296
2021,2,L'Eixample,6,la Sagrada Família,21,47226
2021,2,L'Eixample,6,la Sagrada Família,22,55766
2021,2,L'Eixample,6,la Sagrada Família,23,51941
2021,2,L'Eixample,6,la Sagrada Família,24,47558
2021,2,L'Eixample,6,la Sagrada Família,25,47058
2021,2,L'Eixample,6,la Sagrada Família,26,53919
2021,2,L'Eixample,6,la Sagrada Família,27,53406
2021,2,L'Eixample,6,la Sagrada Família,28,52554
2021,2,L'Eixample,6,la Sagrada Família,29,52893
2021,2,L'Eixample,6,la Sagrada Família,30,44130
2021,2,L'Eixample,6,la Sagrada Família,31,57825
2021,2,L'Eixample,6,la Sagrada Família,32,50914
2021,2,L'Eixample,6,la Sagrada Família,33,47364
2021,2,L'Eixample,6,la Sagrada Família,34,42426
2021,2,L'Eixample,6,la Sagrada Família,35,50060
2021,2,L'Eixample,6,la Sagrada Família,36,59777
2021,2,L'Eixample,6,la Sagrada Família,37,61621
2021,2,L'Eixample,6,la Sagrada Família,38,60296
2021,2,L'Eixample,6,la Sagrada Família,39,50678
2021,2,L'Eixample,6,la Sagrada Família,40,45109
2021,2,L'Eixample,6,la Sagrada Família,41,50029
2021,2,L'Eixample,6,la Sagrada Família,42,58492
2021,2,L'Eixample,6,la Sagrada Família,43,58649
2021,2,L'Eixample,6,la Sagrada Família,44,47005
2021,2,L'Eixample,6,la Sagrada Família,45,56961
2021,2,L'Eixample,6,la Sagrada Família,46,48835
2021,2,L'Eixample,6,la Sagrada Família,47,54595
2021,2,L'Eixample,6,la Sagrada Família,48,50430
2021,2,L'Eixample,6,la Sagrada Família,49,46391
2021,2,L'Eixample,6,la Sagrada Família,50,48164
2021,2,L'Eixample,6,la Sagrada Família,51,44950
2021,2,L'Eixample,6,la Sagrada Família,52,55570
2021,2,L'Eixample,6,la Sagrada Família,53,53463
2021,2,L'Eixample,6,la Sagrada Família,54,55236
2021,2,L'Eixample,7,la Dreta de l'Eixample,55,57751
2021,2,L'Eixample,7,la Dreta de l'Eixample,56,57265
2021,2,L'Eixample,7,la Dreta de l'Eixample,57,71125
2021,2,L'Eixample,7,la Dreta de l'Eixample,58,64343
2021,2,L'Eixample,7,la Dreta de l'Eixample,59,70196
2021,2,L'Eixample,7,la Dreta de l'Eixample,60,63699
2021,2,L'Eixample,7,la Dreta de l'Eixample,61,56428
2021,2,L'Eixample,7,la Dreta de l'Eixample,62,70082
2021,2,L'Eixample,7,la Dreta de l'Eixample,63,90469
2021,2,L'Eixample,7,la Dreta de l'Eixample,64,81418
2021,2,L'Eixample,7,la Dreta de l'Eixample,65,63092
2021,2,L'Eixample,7,la Dreta de l'Eixample,66,60615
2021,2,L'Eixample,7,la Dreta de l'Eixample,67,51698
2021,2,L'Eixample,7,la Dreta de l'Eixample,68,55757
2021,2,L'Eixample,7,la Dreta de l'Eixample,69,66356
2021,2,L'Eixample,7,la Dreta de l'Eixample,70,75594
2021,2,L'Eixample,7,la Dreta de l'Eixample,71,76724
2021,2,L'Eixample,7,la Dreta de l'Eixample,72,84373
2021,2,L'Eixample,7,la Dreta de l'Eixample,73,74590
2021,2,L'Eixample,7,la Dreta de l'Eixample,74,77443
2021,2,L'Eixample,7,la Dreta de l'Eixample,75,70077
