Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Renda_Bruta_€
2021,1,Ciutat Vella,1,el Raval,1,13657
2021,1,Ciutat Vella,1,el Raval,2,10724
2021,1,Ciutat Vella,1,el Raval,3,11017
2021,1,Ciutat Vella,1,el Raval,4,13156
2021,1,Ciutat Vella,1,el Raval,5,11426
2021,1,Ciutat Vella,1,el Raval,6,12444
2021,1,Ciutat Vella,1,el Raval,7,11809
2021,1,Ciutat Vella,1,el Raval,8,8836
2021,1,Ciutat Vella,1,el Raval,9,11919
2021,1,Ciutat Vella,1,el Raval,10,10457
2021,1,Ciutat Vella,1,el Raval,11,9366
2021,1,Ciutat Vella,1,el Raval,12,12561
2021,1,Ciutat Vella,1,el Raval,13,12656
2021,1,Ciutat Vella,1,el Raval,14,11673
2021,1,Ciutat Vella,1,el Raval,15,12404
2021,1,Ciutat Vella,1,el Raval,16,11261
2021,1,Ciutat Vella,1,el Raval,17,10471
2021,1,Ciutat Vella,1,el Raval,18,11415
2021,1,Ciutat Vella,1,el Raval,19,11327
2021,1,Ciutat Vella,1,el Raval,20,18374
2021,1,Ciutat Vella,1,el Raval,21,17848
2021,1,Ciutat Vella,2,el Barri Gòtic,22,22371
2021,1,Ciutat Vella,2,el Barri Gòtic,23,19441
2021,1,Ciutat Vella,2,el Barri Gòtic,25,17934
2021,1,Ciutat Vella,2,el Barri Gòtic,26,18988
2021,1,Ciutat Vella,2,el Barri Gòtic,27,16470
2021,1,Ciutat Vella,2,el Barri Gòtic,28,15535
2021,1,Ciutat Vella,2,el Barri Gòtic,29,13854
2021,1,Ciutat Vella,2,el Barri Gòtic,30,13842
2021,1,Ciutat Vella,2,el Barri Gòtic,31,14534
2021,1,Ciutat Vella,3,la Barceloneta,32,18744
2021,1,Ciutat Vella,3,la Barceloneta,33,15611
2021,1,Ciutat Vella,3,la Barceloneta,34,15965
2021,1,Ciutat Vella,3,la Barceloneta,35,15434
2021,1,Ciutat Vella,3,la Barceloneta,36,16376
2021,1,Ciutat Vella,3,la Barceloneta,37,16069
2021,1,Ciutat Vella,3,la Barceloneta,38,14433
2021,1,Ciutat Vella,3,la Barceloneta,39,16050
2021,1,Ciutat Vella,3,la Barceloneta,40,16395
2021,1,Ciutat Vella,3,la Barceloneta,41,14349
2021,1,Ciutat Vella,3,la Barceloneta,42,16426
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,23526
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20807
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,17731
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,17157
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,16625
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,12943
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,17305
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17106
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,14748
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,23329
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,15094
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,16704
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,21933
2021,2,L'Eixample,5,el Fort Pienc,1,22351
2021,2,L'Eixample,5,el Fort Pienc,2,23052
2021,2,L'Eixample,5,el Fort Pienc,3,26314
2021,2,L'Eixample,5,el Fort Pienc,4,19376
2021,2,L'Eixample,5,el Fort Pienc,5,25631
2021,2,L'Eixample,5,el Fort Pienc,6,26360
2021,2,L'Eixample,5,el Fort Pienc,7,27272
2021,2,L'Eixample,5,el Fort Pienc,8,24757
2021,2,L'Eixample,5,el Fort Pienc,9,24211
2021,2,L'Eixample,5,el Fort Pienc,10,22679
2021,2,L'Eixample,5,el Fort Pienc,11,23743
2021,2,L'Eixample,5,el Fort Pienc,12,19064
2021,2,L'Eixample,5,el Fort Pienc,13,20484
2021,2,L'Eixample,5,el Fort Pienc,14,18642
2021,2,L'Eixample,5,el Fort Pienc,15,18916
2021,2,L'Eixample,5,el Fort Pienc,16,25305
2021,2,L'Eixample,5,el Fort Pienc,17,25128
2021,2,L'Eixample,5,el Fort Pienc,18,25001
2021,2,L'Eixample,5,el Fort Pienc,19,22942
2021,2,L'Eixample,5,el Fort Pienc,20,20469
2021,2,L'Eixample,6,la Sagrada Família,21,21700
2021,2,L'Eixample,6,la Sagrada Família,22,22602
2021,2,L'Eixample,6,la Sagrada Família,23,23583
2021,2,L'Eixample,6,la Sagrada Família,24,21354
2021,2,L'Eixample,6,la Sagrada Família,25,21398
2021,2,L'Eixample,6,la Sagrada Família,26,22995
2021,2,L'Eixample,6,la Sagrada Família,27,22505
2021,2,L'Eixample,6,la Sagrada Família,28,22400
2021,2,L'Eixample,6,la Sagrada Família,29,23295
2021,2,L'Eixample,6,la Sagrada Família,30,18101
2021,2,L'Eixample,6,la Sagrada Família,31,24590
2021,2,L'Eixample,6,la Sagrada Família,32,22673
2021,2,L'Eixample,6,la Sagrada Família,33,21652
2021,2,L'Eixample,6,la Sagrada Família,34,19601
2021,2,L'Eixample,6,la Sagrada Família,35,22635
2021,2,L'Eixample,6,la Sagrada Família,36,25121
2021,2,L'Eixample,6,la Sagrada Família,37,25645
2021,2,L'Eixample,6,la Sagrada Família,38,25684
2021,2,L'Eixample,6,la Sagrada Família,39,21858
2021,2,L'Eixample,6,la Sagrada Família,40,19802
2021,2,L'Eixample,6,la Sagrada Família,41,22447
2021,2,L'Eixample,6,la Sagrada Família,42,25728
2021,2,L'Eixample,6,la Sagrada Família,43,24084
2021,2,L'Eixample,6,la Sagrada Família,44,19490
2021,2,L'Eixample,6,la Sagrada Família,45,23755
2021,2,L'Eixample,6,la Sagrada Família,46,20591
2021,2,L'Eixample,6,la Sagrada Família,47,21981
2021,2,L'Eixample,6,la Sagrada Família,48,20853
2021,2,L'Eixample,6,la Sagrada Família,49,20907
2021,2,L'Eixample,6,la Sagrada Família,50,22297
