Data_Referencia,Valor,LLOC_NAIX_PAIS,EDAT_Q,SEXE
2023-01-01,11,3,0,1
2023-01-01,5,3,0,2
2023-01-01,10,3,1,1
2023-01-01,14,3,1,2
2023-01-01,6,3,2,1
2023-01-01,7,3,2,2
2023-01-01,5,3,3,1
2023-01-01,12,3,3,2
2023-01-01,40,3,4,1
2023-01-01,38,3,4,2
2023-01-01,88,3,5,1
2023-01-01,138,3,5,2
2023-01-01,99,3,6,1
2023-01-01,145,3,6,2
2023-01-01,57,3,7,1
2023-01-01,110,3,7,2
2023-01-01,30,3,8,1
2023-01-01,75,3,8,2
2023-01-01,17,3,9,1
2023-01-01,39,3,9,2
2023-01-01,12,3,10,1
2023-01-01,21,3,10,2
2023-01-01,8,3,11,1
2023-01-01,5,3,11,2
2023-01-01,9,3,12,1
2023-01-01,8,3,12,2
2023-01-01,..,3,13,1
2023-01-01,6,3,13,2
2023-01-01,7,3,14,1
2023-01-01,..,3,14,2
2023-01-01,..,3,15,1
2023-01-01,..,3,16,2
2023-01-01,..,3,17,2
2023-01-01,..,15,0,1
2023-01-01,5,15,0,2
2023-01-01,9,15,1,1
2023-01-01,..,15,1,2
2023-01-01,..,15,2,1
2023-01-01,5,15,2,2
2023-01-01,6,15,3,1
2023-01-01,..,15,3,2
2023-01-01,33,15,4,1
2023-01-01,13,15,4,2
2023-01-01,98,15,5,1
2023-01-01,65,15,5,2
2023-01-01,69,15,6,1
2023-01-01,56,15,6,2
2023-01-01,49,15,7,1
2023-01-01,50,15,7,2
2023-01-01,28,15,8,1
2023-01-01,33,15,8,2
2023-01-01,23,15,9,1
2023-01-01,31,15,9,2
2023-01-01,15,15,10,1
2023-01-01,23,15,10,2
2023-01-01,14,15,11,1
2023-01-01,10,15,11,2
2023-01-01,5,15,12,1
2023-01-01,7,15,12,2
2023-01-01,..,15,13,1
2023-01-01,5,15,13,2
2023-01-01,5,15,14,1
2023-01-01,..,15,14,2
2023-01-01,6,15,15,1
2023-01-01,..,15,15,2
2023-01-01,13,15,16,1
2023-01-01,..,15,16,2
2023-01-01,..,15,17,1
2023-01-01,..,15,18,1
2023-01-01,..,15,18,2
2023-01-01,..,15,19,2
2023-01-01,16,22,0,1
2023-01-01,14,22,0,2
2023-01-01,26,22,1,1
2023-01-01,25,22,1,2
2023-01-01,20,22,2,1
2023-01-01,27,22,2,2
2023-01-01,21,22,3,1
2023-01-01,19,22,3,2
2023-01-01,57,22,4,1
2023-01-01,55,22,4,2
2023-01-01,141,22,5,1
2023-01-01,156,22,5,2
2023-01-01,158,22,6,1
