Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX_CONTINENT,EDAT_Q,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,10,1,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,15,1,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,12,1,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,14,1,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,16,1,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,56,1,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,94,1,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,160,1,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,94,1,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,197,1,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,99,1,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,186,1,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,122,1,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,165,1,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,73,1,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,162,1,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,94,1,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,149,1,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,76,1,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,122,1,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,71,1,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,94,1,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,54,1,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,55,1,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,47,1,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,46,1,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,31,1,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,37,1,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,16,1,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,18,1,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,12,1,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,9,1,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,1,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,24,2,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,13,2,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,57,2,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,48,2,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,50,2,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,48,2,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,75,2,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,65,2,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,280,2,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,232,2,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,641,2,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,580,2,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,621,2,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,703,2,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,454,2,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,538,2,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,357,2,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,410,2,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,308,2,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,299,2,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,243,2,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,237,2,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,195,2,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,156,2,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,151,2,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,113,2,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,117,2,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,75,2,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,68,2,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,40,2,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,26,2,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,19,2,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,29,2,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,13,2,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,2,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,8,2,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,2,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,2,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,2,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,2,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,55,3,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,55,3,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,136,3,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,137,3,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,210,3,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,189,3,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,262,3,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,344,3,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,445,3,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,607,3,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,693,3,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,827,3,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,749,3,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,972,3,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,711,3,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,885,3,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,690,3,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,1034,3,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,593,3,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,875,3,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,479,3,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,690,3,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,391,3,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,480,3,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,285,3,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,308,3,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,200,3,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,177,3,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,106,3,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,83,3,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,52,3,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,29,3,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,23,3,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,10,3,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,7,3,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,3,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,3,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,881,4,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,957,4,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,699,4,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,830,4,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,687,4,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,759,4,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,550,4,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,553,4,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,639,4,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,564,4,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,952,4,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,871,4,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,849,4,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,999,4,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,640,4,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,793,4,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,540,4,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,708,4,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,562,4,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,714,4,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,565,4,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,677,4,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,538,4,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,624,4,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,520,4,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,528,4,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,467,4,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,428,4,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,399,4,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,370,4,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,410,4,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,350,4,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,315,4,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,237,4,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,350,4,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,176,4,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,212,4,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,49,4,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,70,4,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,20,4,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,14,4,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,4,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,5,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,5,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,5,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,5,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,5,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,5,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,5,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,6,5,6,1
