Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,LLOC_NAIX,EDAT_Q,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,801,1,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,868,1,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,601,1,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,734,1,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,577,1,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,635,1,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,465,1,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,450,1,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,313,1,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,333,1,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,229,1,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,243,1,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,208,1,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,238,1,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,174,1,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,213,1,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,176,1,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,219,1,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,267,1,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,331,1,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,314,1,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,343,1,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,309,1,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,349,1,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,278,1,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,285,1,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,227,1,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,190,1,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,149,1,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,171,1,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,177,1,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,132,1,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,130,1,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,84,1,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,148,1,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,70,1,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,93,1,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,16,1,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,31,1,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,8,1,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,51,2,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,58,2,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,55,2,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,60,2,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,78,2,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,74,2,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,43,2,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,60,2,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,45,2,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,21,2,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,75,2,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,73,2,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,60,2,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,78,2,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,48,2,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,64,2,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,54,2,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,69,2,8,2
