Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_G,EDAT_Q,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,428,1,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,437,1,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,566,1,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,632,1,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,631,1,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,688,1,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,588,1,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,616,1,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,608,1,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,583,1,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,635,1,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,695,1,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,653,1,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,743,1,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,593,1,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,685,1,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,653,1,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,837,1,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,821,1,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,962,1,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,839,1,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,937,1,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,776,1,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,857,1,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,751,1,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,714,1,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,654,1,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,532,1,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,503,1,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,449,1,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,446,1,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,379,1,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,341,1,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,247,1,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,361,1,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,182,1,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,214,1,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,51,1,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,72,1,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,21,1,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,14,1,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,46,2,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,45,2,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,27,2,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,20,2,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,29,2,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,22,2,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,28,2,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,14,2,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,204,2,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,156,2,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,547,2,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,468,2,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,470,2,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,542,2,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,298,2,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,404,2,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,191,2,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,288,2,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,127,2,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,173,2,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,61,2,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,119,2,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,50,2,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,61,2,11,2
