Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX_CCAA,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,20,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,7,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,200,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,194,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,10,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,15,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,9,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,6,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,5,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,..,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,324,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,346,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,161,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,159,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,9,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,6,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,..,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,361,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,447,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,22,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,29,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,11,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,13,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,19,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,22,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,8,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,619,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,648,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,18,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,11,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,7,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,29,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,36,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,10,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,13,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,8,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,7,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,5,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,797,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,1029,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,32,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,41,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,10,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,13,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,5,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,21,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,5,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,457,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,462,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,14,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,15,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,5,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,22,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,17,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,5,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,7,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,8,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,7,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,738,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,929,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,23,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,41,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,7,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,14,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,12,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,6,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,385,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,371,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,13,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,13,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,6,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,12,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,7,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,10,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,8,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,6,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,5,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,6,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,18,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,18,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,19,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,591,20,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,716,20,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,8,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,19,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,6,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,11,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,7,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,194,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,227,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,5,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,13,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,10,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,8,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,17,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,19,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,19,2
