Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,LLOC_NAIX,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,168,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,163,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,32,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,31,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,82,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,100,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,44,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,46,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,280,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,300,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,131,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,142,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,30,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,17,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,66,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,44,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,62,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,74,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,299,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,373,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,471,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,487,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,148,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,161,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,139,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,174,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,72,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,86,4,2
