Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_CONTINENT,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,21,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,70,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,60,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,126,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,119,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,399,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1001,440,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,26,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,52,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,55,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,49,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,127,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,163,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,380,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,1,1002,386,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,79,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,150,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,130,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,124,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,322,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,442,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,1022,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,1134,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,999,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1003,..,999,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,59,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,65,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,127,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,134,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,254,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,365,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,889,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,982,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,2,1004,..,999,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,51,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,57,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,96,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,107,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,133,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,272,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,803,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,774,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1005,..,999,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,33,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,69,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,84,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,86,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,147,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,204,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,468,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,486,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1006,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,24,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,65,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,68,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,74,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,197,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,374,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,506,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,602,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,1007,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,42,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,96,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,91,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,106,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,424,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,658,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,768,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,906,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1008,..,999,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,19,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,51,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,102,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,98,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,237,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,318,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,632,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1009,677,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,32,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,51,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,87,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,101,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,346,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,455,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,581,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,642,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,999,1
2023-01-01,1,Ciutat Vella,1,el Raval,4,1010,..,999,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,75,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,109,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,145,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,134,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,372,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,504,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,818,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,893,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1011,..,999,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,26,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,40,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,94,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,80,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,210,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,237,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,606,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,581,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1012,..,999,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,16,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,39,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,53,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,50,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,182,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,206,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,472,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,5,1013,435,4,2
