type,address,description,proxy
cex,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase,Coinbase 1
cex,0x503828976d22510aad0201ac7ec88293211d23da,Coinbase,Coinbase 2
cex,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase,Coinbase 3
cex,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase,Coinbase 4
cex,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase,Coinbase 5
cex,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase,Coinbase 6
cex,0xd688aea8f7d450909ade10c47faa95707b0682d9,Coinbase,Coinbase 7
cex,0x02466e547bfdab679fc49e96bbfc62b9747d997c,Coinbase,Coinbase 8
cex,0x6b76f8b1e9e59913bfe758821887311ba1805cab,Coinbase,Coinbase 9
cex,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase,Coinbase 10
cex,0x77696bb39917c91a0c3908d577d5e322095425ca,Coinbase,Coinbase 11
cex,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,Coinbase,Coinbase 12
cex,0xa6ebc9447c9a54a81ca68e6d1f37f807ea180d0b,Coinbase,Coinbase 13
cex,0xb739d0895772dbb71a89a3754a160269068f0d45,Coinbase,Coinbase 14
cex,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase,Coinbase: Commerce Fee
cex,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase,Coinbase: Commerce Fee 2
cex,0x02d24cab4f2c3bf6e6eb07ea07e45f96baccffe7,Coinbase,Coinbase: Commerce Fee 3
cex,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase,Coinbase: Commerce Fee 4
cex,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase,Coinbase: Commerce Fee 5
cex,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase,Coinbase: Commerce Fee 6
cex,0xa090e606e30bd747d4e6245a1517ebe430f0057e,Coinbase,Coinbase: Miscellaneous
cex,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,Binance
cex,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance,Binance 2
cex,0x564286362092d8e7936f0549571a803b203aaced,Binance,Binance 3
cex,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance,Binance 4
cex,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance,Binance 5
cex,0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance,Binance 6
cex,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance,Binance 7
cex,0xf977814e90da44bfa03b6295a0616a897441acec,Binance,Binance 8
cex,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance,Binance 9
cex,0x85b931a32a0725be14285b66f1a22178c672d69b,Binance,Binance 10
cex,0x708396f17127c42383e3b9014072679b2f60b82f,Binance,Binance 11
cex,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance,Binance 12
cex,0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance,Binance 13
cex,0x28c6c06298d514db089934071355e5743bf21d60,Binance,Binance 14
cex,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance,Binance 15
cex,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance,Binance 16
cex,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance,Binance 17
cex,0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance,Binance 18
cex,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance,Binance 19
cex,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance,Binance 20
cex,0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance,Binance 21
cex,0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,Binance,Binance 22
cex,0x345d8e3a1f62ee6b1d483890976fd66168e390f2,Binance,Binance 23
cex,0xc3c8e0a39769e2308869f7461364ca48155d1d9e,Binance,Binance 24
cex,0x2e581a5ae722207aa59acd3939771e7c7052dd3d,Binance,Binance 25
cex,0x44592b81c05b4c35efb8424eb9d62538b949ebbf,Binance,Binance 26
cex,0xa344c7ada83113b3b56941f6e85bf2eb425949f3,Binance,Binance 27
cex,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance,Binance 28
cex,0x06a0048079ec6571cd1b537418869cde6191d42d,Binance,Binance 29
cex,0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,Binance,Binance 30
cex,0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,Binance,Binance 31
cex,0x141fef8cd8397a390afe94846c8bd6f4ab981c48,Binance,Binance 32
cex,0x50d669f43b484166680ecc3670e4766cdb0945ce,Binance,Binance 33
cex,0x2f7e209e0f5f645c7612d7610193fe268f118b28,Binance,Binance 34
cex,0x2f7e209e0f5f645c7612d7610193fe268f118b28,Binance,Binance 35
cex,0x61189da79177950a7272c88c6058b96d4bcd6be2,Binance,Binance US
