date,all_wallets,all_vol,retail_wallets,retail_vol,asset
2023-01,42869,19814984031.915916,35893,249082733.71422067,DAI
2023-02,33045,20040059452.276394,27909,265113683.52948937,DAI
2023-03,49071,57060220538.25052,38990,358601050.9075437,DAI
2023-04,27220,27509528877.345318,23306,182020476.1274638,DAI
2023-05,31337,23261405400.294353,27760,197066154.18001133,DAI
2023-06,28401,28948571035.521523,23912,175794602.66828477,DAI
2023-07,24907,53303589968.33319,21023,182038790.13388273,DAI
2023-08,27420,43402597042.27828,22445,208496897.34884846,DAI
2023-09,25230,43754416084.86629,21535,163276620.64813522,DAI
2023-10,27528,111381063474.74767,23547,209958180.6835661,DAI
