date,kyc_wallets,kyc_vol,kyc_retail_wallets,kyc_retail_vol,asset
2023-01,8366,286663362.8822905,6901,20186791.92449737,DAI
2023-02,15793,236648478.43594137,14564,21004717.05918795,DAI
2023-03,13017,800977646.8257836,10631,27585242.32326995,DAI
2023-04,6769,272961344.05106413,5652,16185899.215888923,DAI
2023-05,5999,150421150.3778742,4885,14810868.268591158,DAI
2023-06,23906,198294656.25679526,22780,17305804.42358957,DAI
2023-07,6169,162835612.65991536,5266,15350735.227427756,DAI
2023-08,6218,263349054.5005201,5031,15409716.946098955,DAI
2023-09,5420,163875558.061299,4662,11301141.54334639,DAI
2023-10,5489,286669944.3987401,4605,12479002.487136906,DAI
