date,all_wallets,all_vol,retail_wallets,retail_vol,asset
2023-01,317236,407192930096.75903,243739,2220826916.230166,USDC
2023-02,289501,250843418062.70212,237186,2672981181.015103,USDC
2023-03,368841,339661775429.91144,293061,2828227501.131881,USDC
2023-04,225403,128404325357.43423,203314,1731159498.498807,USDC
2023-05,198372,89742948300.548,178707,1481775758.726762,USDC
2023-06,232533,148654507991.01364,202879,1330658132.629203,USDC
2023-07,230367,116113014743.2105,200900,1436954517.900441,USDC
2023-08,210781,126943339548.61316,184255,1371523802.044318,USDC
2023-09,205982,104151919947.90831,179945,1159458510.688747,USDC
2023-10,239289,125148808375.22153,211973,1555922267.844152,USDC
