date,kyc_wallets,kyc_vol,kyc_retail_wallets,kyc_retail_vol,asset
2023-01,117772,45869809492.490486,101186,284096282.081438,USDC
2023-02,90483,30290498486.064213,74358,254038004.95544,USDC
2023-03,120601,44539039496.03328,94058,309860131.816448,USDC
2023-04,76947,13569736370.900536,63103,199210872.203027,USDC
2023-05,91485,13643268349.586166,79130,197133333.119665,USDC
2023-06,128700,16172950842.763716,114303,209157079.731228,USDC
2023-07,117754,15782951729.455011,105004,241564048.845024,USDC
2023-08,74639,16521657283.571516,63107,182584154.065211,USDC
2023-09,68372,11348475897.75022,57539,164303941.888069,USDC
2023-10,89896,14468959536.978573,76813,204439899.28706,USDC
