date,all_wallets,all_vol,retail_wallets,retail_vol,asset
2023-01,657176,82021000865.68336,510016,2471020781.31782,USDT
2023-02,613762,68653473801.69618,478746,2732662521.95026,USDT
2023-03,742190,132969911720.54588,606845,3539939078.375343,USDT
2023-04,536039,65814204121.78254,495010,2794094117.788101,USDT
2023-05,530336,65892789379.733894,491421,2792854941.993366,USDT
2023-06,591051,86659169040.15219,525139,2441179706.109517,USDT
2023-07,538635,66507537585.77753,467003,2545865394.179742,USDT
2023-08,559308,72277428502.08995,498818,2593360140.323657,USDT
2023-09,603613,59039119606.31626,545291,2371694614.485907,USDT
2023-10,660736,67745807757.21555,598098,2828995094.680056,USDT
