date,kyc_wallets,kyc_vol,kyc_retail_wallets,kyc_retail_vol,asset
2023-01,291549,19006596657.57233,259679,657086492.129288,USDT
2023-02,333068,16999144687.67634,304207,660862591.358359,USDT
2023-03,342013,32596571459.85692,304589,786917155.0653,USDT
2023-04,279165,18436156341.85136,247663,676033445.586281,USDT
2023-05,258278,17564905032.068764,229376,623006031.267585,USDT
2023-06,357954,21208587948.58651,324656,659348854.299706,USDT
2023-07,238470,15325021890.627794,211789,602545268.872982,USDT
2023-08,272337,18037136794.89351,244632,619979386.922964,USDT
2023-09,251406,13925316604.754124,225320,562722956.568381,USDT
2023-10,333776,18348441876.159534,302755,684932456.790874,USDT
